Storage_Type,Total_Items,Direct_PII_Count,Direct_PII_Pct,Num_PII_Classes,Critical_Risk,High_Risk,Medium_Risk,Low_Risk,High_Critical_Pct
Cookies,32791,285,0.9%,23,2438,16355,10963,3035,57.3%
Localstorage,18744,196,1.0%,19,11,6560,12173,0,35.1%
Sessionstorage,6143,142,2.3%,19,0,1886,2010,2247,30.7%
Indexeddb,306142,207,0.1%,21,0,227477,78665,0,74.3%
