Mode,Total_Cookies,HttpOnly_Count,HttpOnly_Pct,Secure_Count,Secure_Pct,SameSite_Protected_Pct,HttpOnly_Missing_Count,HttpOnly_Missing_Pct,Secure_Missing_Count,Secure_Missing_Pct,SameSite_Unprotected_Pct,Third_Party_Count,Third_Party_Pct,First_Party_Count,First_Party_Pct
Auth,14310,3786,26.5%,10070,70.4%,46.9%,10524,73.5%,4240,29.6%,53.1%,9219,64.4%,5091,35.6%
UnAuth,18481,3369,18.2%,11982,64.8%,51.1%,15112,81.8%,6499,35.2%,48.9%,10793,58.4%,7688,41.6%
