Policy,Mode,Total_Cookies,Critical,Critical_Pct,High,High_Pct,Medium,Medium_Pct,Low,Low_Pct,High_Critical_Combined,High_Critical_Pct
ALL,Auth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
ALL,UnAuth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
PARTIAL,Auth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
PARTIAL,UnAuth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
NONE,Auth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
NONE,UnAuth,4482,237,5.3%,1758,39.2%,2349,52.4%,138,3.1%,1995,44.5%
