Policy,Mode,Total_Cookies,HttpOnly_Count,HttpOnly_Pct,HttpOnly_Missing_Count,HttpOnly_Missing_Pct,Secure_Count,Secure_Pct,Secure_Missing_Count,Secure_Missing_Pct,SameSite_Lax,SameSite_Strict,SameSite_Protected_Pct,SameSite_Unprotected_Count,SameSite_Unprotected_Pct,Third_Party_Count,Third_Party_Pct,First_Party_Count,First_Party_Pct
ALL,Auth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
ALL,UnAuth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
PARTIAL,Auth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
PARTIAL,UnAuth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
NONE,Auth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
NONE,UnAuth,4482,714,15.9%,3768,84.1%,2601,58.0%,1881,42.0%,2745,57,62.5%,1680,37.5%,1902,42.4%,2580,57.6%
